,Pointing,SCA,BAND,zeropoint,RA,DEC,date,true mag,true flux,DETECTED,mag,flux,Residual Mean,Residual Mean Central,SNID
0,281,12,F184,14.621993990853726,7.917482225130987,-44.560905545925664,62001.54042,,,False,,,619.2848525998693,-1063.297716348368,50106142
1,2984,6,F184,14.621993990863952,7.937009169465789,-44.55693764617319,62036.6416,,,False,,,819.4226976886512,-1171.9718080822277,50106142
2,2983,16,F184,14.621993990650314,7.982331055232972,-44.46683873727784,62036.6303,,,False,,,751.9984715093196,-975.7057556595234,50106142
3,2593,18,F184,14.621993990674849,7.952364305469545,-44.479356240628704,62031.5629,,,False,,,447.7371303631535,-1026.649169900394,50106142
4,1823,4,F184,14.621993990584564,7.983870048604368,-44.47561316016975,62021.5629,,,False,,,915.7413236817392,-577.2460538775476,50106142
5,3374,6,F184,14.621993990856623,8.081398539922995,-44.55964098593584,62041.709,,,False,,,795.4945778324964,-1212.5043566137283,50106142
6,1442,16,F184,14.621993990697574,8.02361682040672,-44.47631033368036,62016.6191,,,False,,,737.875092677521,-593.254976665789,50106142
7,1437,14,F184,14.621993990635607,8.007927729107736,-44.54511119693893,62016.5517,,,False,,,926.4682483644827,-385.6018983012745,50106142
8,1052,10,F184,14.621993990679387,7.987925150894068,-44.49568831157712,62011.5517,,,False,,,499.6518405533152,-403.0225011267701,50106142
9,1818,6,F184,14.621993990699412,7.939742919805496,-44.49994620821581,62021.4955,,,False,,,526.6209714108118,-698.7421420074824,50106142
10,44948,13,F184,14.62199399073996,8.057586840750547,-44.47778559105557,62581.63,1.86742483,126423.458,True,1.857758688832224,127553.54245441692,1.3065974264459916,-7.774701833166444,50106142
11,42241,9,F184,14.62199399080446,8.031278967441704,-44.46123824815755,62546.473,3.73665108,22601.4949,True,3.690156856535662,23590.28878332832,1.6328319010965315,-7.800540737159153,50106142
12,42246,2,F184,14.62199399080471,8.030991771887315,-44.55528569269289,62546.54,3.70533088,23262.9744,True,3.68400817452946,23724.26301873908,1.5456166935597568,-10.584217371252723,50106142
13,42251,15,F184,14.621993990678414,8.013755461458723,-44.507427769770366,62546.608,3.67444098,23934.3261,True,3.653865051443329,24392.14423493201,1.2914610811189733,-8.174253639971896,50106142
14,43012,4,F184,14.621993990720323,7.947904154020404,-44.57084898630514,62556.484,1.8229046,131715.157,True,1.819382968556516,132142.58934053234,1.3466882289755733,-13.094432276543708,50106142
15,43397,3,F184,14.621993990738009,8.026682449857464,-44.56976629756778,62561.484,1.78024113,136993.873,True,1.778370771280331,137229.5665175944,0.9357366991765622,-1.4020372850040337,50106142
16,43783,8,F184,14.621993990906164,7.897264599865685,-44.54128254796577,62566.495,1.69351939,148384.945,True,1.681787984784675,149996.3897156681,0.8872301790848854,15.773030295182592,50106142
17,43787,18,F184,14.62199399072476,7.989096645663551,-44.51262498641293,62566.552,1.69232648,148548.067,True,1.69352689647911,148383.3737919226,0.9518931335025118,0.4124229502793007,50106142
18,43792,16,F184,14.621993991042112,8.081189174363514,-44.52759278987982,62566.619,1.69092595,148739.808,True,1.6905302359715328,148793.48150353928,1.811279965987138,-11.174837582067584,50106142
19,44949,9,F184,14.621993990620684,7.918427394735894,-44.515803417370186,62581.642,1.86761027,126401.867,True,1.8648716161855,126720.6387976842,0.9233104453787222,-28.659500195599183,50106142
20,276,18,F184,14.621993991041473,7.15785237355091,-44.65304925259423,62001.47298,,,False,,,652.9685470850759,104.0708862373695,50129236
21,6104,12,F184,14.621993991028647,7.270772415968643,-44.56612126931714,62077.1811,,,False,,,750.4075951646446,504.236812827382,50129236
22,6099,1,F184,14.62199399110391,7.221466325873363,-44.6034741707487,62077.1137,,,False,,,863.5823953589711,239.1400234136977,50129236
23,5709,4,F184,14.621993991093303,7.267246360978047,-44.557418875003776,62072.0462,,,False,,,707.9188133723128,73.09421194410606,50129236
24,5319,7,F184,14.621993990892925,7.2842453469553,-44.607137411560686,62066.9788,,,False,,,805.8593400046457,548.020194696865,50129236
25,6873,5,F184,14.621993991174444,7.211409129777596,-44.53874794863292,62087.1699,,,False,,,796.9252502627664,-312.51950909502625,50129236
26,2589,11,F184,14.621993990944588,7.206074249296618,-44.63562845676333,62031.5067,,,False,,,608.2273804606302,254.971835290094,50129236
27,2204,7,F184,14.621993991086129,7.201723748521502,-44.67258373855769,62026.5067,,,False,,,718.3698650618271,166.73339900333502,50129236
28,1047,16,F184,14.621993991183931,7.231126337195282,-44.61749197668719,62011.4842,,,False,,,827.9274040751179,319.4948962967989,50129236
29,2979,13,F184,14.621993990999648,7.234992689549811,-44.62802716906788,62036.5741,,,False,,,822.4494394849521,-511.44924970883767,50129236
30,51146,5,F184,14.621993991053111,7.258679551537547,-44.59775598432711,62662.147,3.52627646,27433.8661,True,3.537206553062296,27158.97521608799,1.274165806083563,0.6329952058037822,50129236
31,42241,14,F184,14.621993991109065,7.279647639339871,-44.57257432339027,62546.473,6.6684748,1518.4751,True,6.628255205667735,1575.773953973583,1.251732737752408,2.220735828312909,50129236
32,44168,13,F184,14.62199399098125,7.31641301106216,-44.60673191509729,62571.495,3.88789702,19662.5024,True,3.9032789941269854,19385.8301065166,1.2731216838476058,-10.09167250058887,50129236
33,44554,2,F184,14.621993991076232,7.247257066961885,-44.533556171927735,62576.507,3.71840898,22984.4441,True,3.722626324030486,22895.254233720785,1.0979933051909452,-1.851028978507876,50129236
34,44939,18,F184,14.62199399088794,7.173008847666901,-44.58120080895103,62581.507,3.57681284,26186.1989,True,3.606931056612412,25469.68520865128,1.2211823091714804,5.776243046270559,50129236
35,44944,10,F184,14.621993991085104,7.272301959424355,-44.56839001767974,62581.574,3.57454304,26241.0,True,3.5640454720536123,26495.84723766724,1.480775436014236,8.569327502629902,50129236
36,47674,8,F184,14.621993991002482,7.199685595092344,-44.558097796433024,62617.046,3.0425258,42833.8661,True,3.081874743646262,41309.13513853525,1.431214162289295,-3.0662195863526565,50129236
37,48064,5,F184,14.6219939910039,7.128117839798941,-44.59824514685749,62622.114,3.07541118,41555.9414,True,3.0882383281080106,41067.72722637114,1.3982919115196557,-2.1096985980583125,50129236
38,49223,4,F184,14.62199399109612,7.213697739152121,-44.55053462603117,62637.17,3.2011742,37010.7525,True,3.219957244778742,36375.84595873607,1.1296514448979316,-10.66992126168686,50129236
