,Pointing,SCA,BAND,zeropoint,RA,DEC,date,true mag,true flux,DETECTED,mag,flux,Residual Mean,Residual Mean Central,SNID
0,281,12,F184,14.621993990853726,7.917482225130987,-44.560905545925664,62001.54042,,,False,,,614.6632385443891,200.808963746391,50106142
1,2984,6,F184,14.621993990863952,7.937009169465789,-44.55693764617319,62036.6416,,,False,,,817.4437307342753,224.1022052470742,50106142
2,2983,16,F184,14.621993990650314,7.982331055232972,-44.46683873727784,62036.6303,,,False,,,671.4175230187736,-65.21319730880805,50106142
3,2593,18,F184,14.621993990674847,7.952364305469545,-44.479356240628704,62031.5629,,,False,,,586.3429467468507,264.12513822852696,50106142
4,1823,4,F184,14.621993990584565,7.983870048604368,-44.47561316016975,62021.5629,,,False,,,737.6147086513578,-409.9654835854651,50106142
5,3374,6,F184,14.621993990856625,8.081398539922995,-44.55964098593584,62041.709,,,False,,,653.0168864027928,478.18470202561195,50106142
6,1442,16,F184,14.621993990697574,8.02361682040672,-44.47631033368036,62016.6191,,,False,,,729.4851863381044,-137.70774277434202,50106142
7,1437,14,F184,14.621993990635609,8.007927729107736,-44.54511119693893,62016.5517,,,False,,,674.8258351274337,-203.06225574487326,50106142
8,1052,10,F184,14.621993990679387,7.9879251508940685,-44.49568831157712,62011.5517,,,False,,,719.8199347748052,79.74640219152889,50106142
9,1818,6,F184,14.621993990699412,7.9397429198054965,-44.49994620821581,62021.4955,,,False,,,601.9283953117288,259.72243582696916,50106142
10,44948,13,F184,14.621993990739961,8.057586840750547,-44.477785591055564,62581.63,1.86742483,126423.458,True,1.8607334438744498,127204.54312004389,1.5156544573399162,3.200645436987891,50106142
11,42241,9,F184,14.62199399080446,8.031278967441704,-44.46123824815755,62546.473,3.73665108,22601.4949,True,3.729177202451094,22757.529743728446,1.4598038010609518,7.694531187405933,50106142
12,42246,2,F184,14.62199399080471,8.030991771887315,-44.55528569269289,62546.54,3.70533088,23262.9744,True,3.721868925313414,22911.23130615446,1.186404566767841,-8.915005997814639,50106142
13,42251,15,F184,14.621993990678414,8.013755461458723,-44.507427769770366,62546.608,3.67444098,23934.3261,True,3.6734146914512102,23956.87260386112,1.4539632866959527,7.19615786627498,50106142
14,43012,4,F184,14.621993990720323,7.947904154020404,-44.570848986305144,62556.484,1.8229046,131715.157,True,1.8268273424853803,131239.6498489789,1.046102498533921,-4.745056723674888,50106142
15,43397,3,F184,14.621993990738007,8.026682449857464,-44.56976629756778,62561.484,1.78024113,136993.873,True,1.7773950819721058,137352.94234264136,1.354617464816956,6.421125029472791,50106142
16,43783,8,F184,14.621993990906164,7.897264599865685,-44.54128254796577,62566.495,1.69351939,148384.945,True,1.6860582014174046,149407.61028332316,1.154399681762451,17.821975203775114,50106142
17,43787,18,F184,14.621993990724759,7.989096645663551,-44.51262498641293,62566.552,1.69232648,148548.067,True,1.698468637976072,147709.5397127111,1.2229686547090797,3.442807565401368,50106142
18,43792,16,F184,14.621993991042112,8.081189174363514,-44.52759278987982,62566.619,1.69092595,148739.808,True,1.6948860271695914,148197.74286082905,1.0875452853967291,-8.04119312237354,50106142
19,44949,9,F184,14.621993990620684,7.918427394735894,-44.515803417370186,62581.642,1.86761027,126401.867,True,1.8713395570600344,125967.98348967107,1.0484382827868652,-8.939766115112942,50106142
