filter,Pointing,SCA,date,offpeak_time,DETECTED,zeropoint,true mag,true flux,realized flux,BAND,measured_flux,confusion_metric,host_sep,host_mag_g,grid points
Y106,46729,1,62605.57,17.26921874999971,True,15.023547190863757,4.21269182,21102.9004,21093.0,Y106,21270.860493606793,135.952710499963,0.30876914,23.032,472
Y106,46339,1,62600.545,12.244218749998254,True,15.023547190904315,4.16729556,22003.9501,21825.0,Y106,22136.320987317267,135.952710499963,0.30876914,23.032,472
Y106,45564,4,62590.519,2.218218750000233,True,15.023547190880912,4.39539293,17834.5315,18043.0,Y106,18356.677021981566,135.952710499963,0.30876914,23.032,472
Y106,44784,5,62580.467,7.833781250003085,True,15.023547190990628,4.72134093,13209.3822,13371.0,Y106,13425.759845104994,135.952710499963,0.30876914,23.032,472
Y106,46344,8,62600.57,12.269218749999709,True,15.023547190982358,4.16720619,22005.7614,21938.0,Y106,22242.12021147694,135.952710499963,0.30876914,23.032,472
Y106,45949,10,62595.519,7.218218750000233,True,15.02354719077495,4.26054905,20192.9262,20070.0,Y106,20058.276554592416,135.952710499963,0.30876914,23.032,472
Y106,45559,14,62590.493,2.192218750002212,True,15.023547190977293,4.39601771,17824.2717,17850.0,Y106,17851.34693996072,135.952710499963,0.30876914,23.032,472
Y106,45169,15,62585.467,2.833781250003085,True,15.023547190862445,4.53630642,15663.7705,15486.0,Y106,15367.194051367036,135.952710499963,0.30876914,23.032,472
Y106,44783,16,62580.463,7.837781249996624,True,15.023547190934014,4.72151984,13207.2057,13190.0,Y106,13343.208185173053,135.952710499963,0.30876914,23.032,472
Y106,44393,18,62575.437,12.86378125000192,True,15.023547190943711,5.02085573,10024.8201,10269.0,Y106,10161.62285267543,135.952710499963,0.30876914,23.032,472
